glucose,activity,ATP_production,ATP_demand,ATP_balance,ATP_ratio
1.0,Resting,360.0,50,310.0,7.2
1.0,Moderate,360.0,70,290.0,5.142857142857143
1.0,High,360.0,95,265.0,3.789473684210526
0.8,Resting,288.0,50,238.0,5.76
0.8,Moderate,288.0,70,218.0,4.114285714285714
0.8,High,288.0,95,193.0,3.031578947368421
0.6,Resting,216.0,50,166.0,4.32
0.6,Moderate,216.0,70,146.0,3.085714285714286
0.6,High,216.0,95,121.0,2.2736842105263158
0.4,Resting,144.0,50,94.0,2.88
0.4,Moderate,144.0,70,74.0,2.057142857142857
0.4,High,144.0,95,49.0,1.5157894736842106
0.2,Resting,72.0,50,22.0,1.44
0.2,Moderate,72.0,70,2.0,1.0285714285714285
0.2,High,72.0,95,-23.0,0.7578947368421053
