mitochondrial_efficiency,activity,ATP_production,ATP_demand,ATP_balance,ATP_ratio
0.2,Resting,72.0,50,22.0,1.44
0.2,Moderate,72.0,70,2.0,1.0285714285714285
0.2,High,72.0,95,-23.0,0.7578947368421053
0.3,Resting,108.0,50,58.0,2.16
0.3,Moderate,108.0,70,38.0,1.542857142857143
0.3,High,108.0,95,13.0,1.1368421052631579
0.4,Resting,144.0,50,94.0,2.88
0.4,Moderate,144.0,70,74.0,2.057142857142857
0.4,High,144.0,95,49.0,1.5157894736842106
0.5,Resting,180.0,50,130.0,3.6
0.5,Moderate,180.0,70,110.0,2.5714285714285716
0.5,High,180.0,95,85.0,1.894736842105263
0.6,Resting,216.0,50,166.0,4.32
0.6,Moderate,216.0,70,146.0,3.085714285714286
0.6,High,216.0,95,121.0,2.2736842105263158
0.7,Resting,251.99999999999997,50,201.99999999999997,5.039999999999999
0.7,Moderate,251.99999999999997,70,181.99999999999997,3.5999999999999996
0.7,High,251.99999999999997,95,156.99999999999997,2.6526315789473682
0.8,Resting,288.0,50,238.0,5.76
0.8,Moderate,288.0,70,218.0,4.114285714285714
0.8,High,288.0,95,193.0,3.031578947368421
