glucose,minute,activity,ATP_demand,ATP_production,ATP_balance,ATP_ratio,ATP_level
1.0,1,Resting,50,360.0,310.0,7.2,131.0
1.0,2,Resting,50,360.0,310.0,7.2,162.0
1.0,3,Resting,50,360.0,310.0,7.2,193.0
1.0,4,Resting,50,360.0,310.0,7.2,224.0
1.0,5,Resting,50,360.0,310.0,7.2,255.0
1.0,6,Resting,50,360.0,310.0,7.2,286.0
1.0,7,Resting,50,360.0,310.0,7.2,317.0
1.0,8,Resting,50,360.0,310.0,7.2,348.0
1.0,9,Resting,50,360.0,310.0,7.2,379.0
1.0,10,Resting,50,360.0,310.0,7.2,410.0
1.0,1,Moderate,70,360.0,290.0,5.142857142857143,129.0
1.0,2,Moderate,70,360.0,290.0,5.142857142857143,158.0
1.0,3,Moderate,70,360.0,290.0,5.142857142857143,187.0
1.0,4,Moderate,70,360.0,290.0,5.142857142857143,216.0
1.0,5,Moderate,70,360.0,290.0,5.142857142857143,245.0
1.0,6,Moderate,70,360.0,290.0,5.142857142857143,274.0
1.0,7,Moderate,70,360.0,290.0,5.142857142857143,303.0
1.0,8,Moderate,70,360.0,290.0,5.142857142857143,332.0
1.0,9,Moderate,70,360.0,290.0,5.142857142857143,361.0
1.0,10,Moderate,70,360.0,290.0,5.142857142857143,390.0
1.0,1,High,95,360.0,265.0,3.789473684210526,126.5
1.0,2,High,95,360.0,265.0,3.789473684210526,153.0
1.0,3,High,95,360.0,265.0,3.789473684210526,179.5
1.0,4,High,95,360.0,265.0,3.789473684210526,206.0
1.0,5,High,95,360.0,265.0,3.789473684210526,232.5
1.0,6,High,95,360.0,265.0,3.789473684210526,259.0
1.0,7,High,95,360.0,265.0,3.789473684210526,285.5
1.0,8,High,95,360.0,265.0,3.789473684210526,312.0
1.0,9,High,95,360.0,265.0,3.789473684210526,338.5
1.0,10,High,95,360.0,265.0,3.789473684210526,365.0
0.8,1,Resting,50,288.0,238.0,5.76,123.8
0.8,2,Resting,50,288.0,238.0,5.76,147.6
0.8,3,Resting,50,288.0,238.0,5.76,171.4
0.8,4,Resting,50,288.0,238.0,5.76,195.20000000000002
0.8,5,Resting,50,288.0,238.0,5.76,219.00000000000003
0.8,6,Resting,50,288.0,238.0,5.76,242.80000000000004
0.8,7,Resting,50,288.0,238.0,5.76,266.6
0.8,8,Resting,50,288.0,238.0,5.76,290.40000000000003
0.8,9,Resting,50,288.0,238.0,5.76,314.20000000000005
0.8,10,Resting,50,288.0,238.0,5.76,338.00000000000006
0.8,1,Moderate,70,288.0,218.0,4.114285714285714,121.8
0.8,2,Moderate,70,288.0,218.0,4.114285714285714,143.6
0.8,3,Moderate,70,288.0,218.0,4.114285714285714,165.4
0.8,4,Moderate,70,288.0,218.0,4.114285714285714,187.20000000000002
0.8,5,Moderate,70,288.0,218.0,4.114285714285714,209.00000000000003
0.8,6,Moderate,70,288.0,218.0,4.114285714285714,230.80000000000004
0.8,7,Moderate,70,288.0,218.0,4.114285714285714,252.60000000000005
0.8,8,Moderate,70,288.0,218.0,4.114285714285714,274.40000000000003
0.8,9,Moderate,70,288.0,218.0,4.114285714285714,296.20000000000005
0.8,10,Moderate,70,288.0,218.0,4.114285714285714,318.00000000000006
0.8,1,High,95,288.0,193.0,3.031578947368421,119.3
0.8,2,High,95,288.0,193.0,3.031578947368421,138.6
0.8,3,High,95,288.0,193.0,3.031578947368421,157.9
0.8,4,High,95,288.0,193.0,3.031578947368421,177.20000000000002
0.8,5,High,95,288.0,193.0,3.031578947368421,196.50000000000003
0.8,6,High,95,288.0,193.0,3.031578947368421,215.80000000000004
0.8,7,High,95,288.0,193.0,3.031578947368421,235.10000000000005
0.8,8,High,95,288.0,193.0,3.031578947368421,254.40000000000006
0.8,9,High,95,288.0,193.0,3.031578947368421,273.70000000000005
0.8,10,High,95,288.0,193.0,3.031578947368421,293.00000000000006
0.6,1,Resting,50,216.0,166.0,4.32,116.6
0.6,2,Resting,50,216.0,166.0,4.32,133.2
0.6,3,Resting,50,216.0,166.0,4.32,149.79999999999998
0.6,4,Resting,50,216.0,166.0,4.32,166.39999999999998
0.6,5,Resting,50,216.0,166.0,4.32,182.99999999999997
0.6,6,Resting,50,216.0,166.0,4.32,199.59999999999997
0.6,7,Resting,50,216.0,166.0,4.32,216.19999999999996
0.6,8,Resting,50,216.0,166.0,4.32,232.79999999999995
0.6,9,Resting,50,216.0,166.0,4.32,249.39999999999995
0.6,10,Resting,50,216.0,166.0,4.32,265.99999999999994
0.6,1,Moderate,70,216.0,146.0,3.085714285714286,114.6
0.6,2,Moderate,70,216.0,146.0,3.085714285714286,129.2
0.6,3,Moderate,70,216.0,146.0,3.085714285714286,143.79999999999998
0.6,4,Moderate,70,216.0,146.0,3.085714285714286,158.39999999999998
0.6,5,Moderate,70,216.0,146.0,3.085714285714286,172.99999999999997
0.6,6,Moderate,70,216.0,146.0,3.085714285714286,187.59999999999997
0.6,7,Moderate,70,216.0,146.0,3.085714285714286,202.19999999999996
0.6,8,Moderate,70,216.0,146.0,3.085714285714286,216.79999999999995
0.6,9,Moderate,70,216.0,146.0,3.085714285714286,231.39999999999995
0.6,10,Moderate,70,216.0,146.0,3.085714285714286,245.99999999999994
0.6,1,High,95,216.0,121.0,2.2736842105263158,112.1
0.6,2,High,95,216.0,121.0,2.2736842105263158,124.19999999999999
0.6,3,High,95,216.0,121.0,2.2736842105263158,136.29999999999998
0.6,4,High,95,216.0,121.0,2.2736842105263158,148.39999999999998
0.6,5,High,95,216.0,121.0,2.2736842105263158,160.49999999999997
0.6,6,High,95,216.0,121.0,2.2736842105263158,172.59999999999997
0.6,7,High,95,216.0,121.0,2.2736842105263158,184.69999999999996
0.6,8,High,95,216.0,121.0,2.2736842105263158,196.79999999999995
0.6,9,High,95,216.0,121.0,2.2736842105263158,208.89999999999995
0.6,10,High,95,216.0,121.0,2.2736842105263158,220.99999999999994
0.4,1,Resting,50,144.0,94.0,2.88,109.4
0.4,2,Resting,50,144.0,94.0,2.88,118.80000000000001
0.4,3,Resting,50,144.0,94.0,2.88,128.20000000000002
0.4,4,Resting,50,144.0,94.0,2.88,137.60000000000002
0.4,5,Resting,50,144.0,94.0,2.88,147.00000000000003
0.4,6,Resting,50,144.0,94.0,2.88,156.40000000000003
0.4,7,Resting,50,144.0,94.0,2.88,165.80000000000004
0.4,8,Resting,50,144.0,94.0,2.88,175.20000000000005
0.4,9,Resting,50,144.0,94.0,2.88,184.60000000000005
0.4,10,Resting,50,144.0,94.0,2.88,194.00000000000006
0.4,1,Moderate,70,144.0,74.0,2.057142857142857,107.4
0.4,2,Moderate,70,144.0,74.0,2.057142857142857,114.80000000000001
0.4,3,Moderate,70,144.0,74.0,2.057142857142857,122.20000000000002
0.4,4,Moderate,70,144.0,74.0,2.057142857142857,129.60000000000002
0.4,5,Moderate,70,144.0,74.0,2.057142857142857,137.00000000000003
0.4,6,Moderate,70,144.0,74.0,2.057142857142857,144.40000000000003
0.4,7,Moderate,70,144.0,74.0,2.057142857142857,151.80000000000004
0.4,8,Moderate,70,144.0,74.0,2.057142857142857,159.20000000000005
0.4,9,Moderate,70,144.0,74.0,2.057142857142857,166.60000000000005
0.4,10,Moderate,70,144.0,74.0,2.057142857142857,174.00000000000006
0.4,1,High,95,144.0,49.0,1.5157894736842106,104.9
0.4,2,High,95,144.0,49.0,1.5157894736842106,109.80000000000001
0.4,3,High,95,144.0,49.0,1.5157894736842106,114.70000000000002
0.4,4,High,95,144.0,49.0,1.5157894736842106,119.60000000000002
0.4,5,High,95,144.0,49.0,1.5157894736842106,124.50000000000003
0.4,6,High,95,144.0,49.0,1.5157894736842106,129.40000000000003
0.4,7,High,95,144.0,49.0,1.5157894736842106,134.30000000000004
0.4,8,High,95,144.0,49.0,1.5157894736842106,139.20000000000005
0.4,9,High,95,144.0,49.0,1.5157894736842106,144.10000000000005
0.4,10,High,95,144.0,49.0,1.5157894736842106,149.00000000000006
0.2,1,Resting,50,72.0,22.0,1.44,102.2
0.2,2,Resting,50,72.0,22.0,1.44,104.4
0.2,3,Resting,50,72.0,22.0,1.44,106.60000000000001
0.2,4,Resting,50,72.0,22.0,1.44,108.80000000000001
0.2,5,Resting,50,72.0,22.0,1.44,111.00000000000001
0.2,6,Resting,50,72.0,22.0,1.44,113.20000000000002
0.2,7,Resting,50,72.0,22.0,1.44,115.40000000000002
0.2,8,Resting,50,72.0,22.0,1.44,117.60000000000002
0.2,9,Resting,50,72.0,22.0,1.44,119.80000000000003
0.2,10,Resting,50,72.0,22.0,1.44,122.00000000000003
0.2,1,Moderate,70,72.0,2.0,1.0285714285714285,100.2
0.2,2,Moderate,70,72.0,2.0,1.0285714285714285,100.4
0.2,3,Moderate,70,72.0,2.0,1.0285714285714285,100.60000000000001
0.2,4,Moderate,70,72.0,2.0,1.0285714285714285,100.80000000000001
0.2,5,Moderate,70,72.0,2.0,1.0285714285714285,101.00000000000001
0.2,6,Moderate,70,72.0,2.0,1.0285714285714285,101.20000000000002
0.2,7,Moderate,70,72.0,2.0,1.0285714285714285,101.40000000000002
0.2,8,Moderate,70,72.0,2.0,1.0285714285714285,101.60000000000002
0.2,9,Moderate,70,72.0,2.0,1.0285714285714285,101.80000000000003
0.2,10,Moderate,70,72.0,2.0,1.0285714285714285,102.00000000000003
0.2,1,High,95,72.0,-23.0,0.7578947368421053,97.7
0.2,2,High,95,72.0,-23.0,0.7578947368421053,95.4
0.2,3,High,95,72.0,-23.0,0.7578947368421053,93.10000000000001
0.2,4,High,95,72.0,-23.0,0.7578947368421053,90.80000000000001
